,Name,team_name,sleeper_url
0,Connor,XTC All-Stars,https://sleepercdn.com/avatars/f7efda3374927c9ec4190edbf508643e
1,Ryan,Da IR Gummy Bears,https://sleepercdn.com/uploads/2a4a80d92c239b5ecfd0099ba4e1178d.jpg
2,Ben,Hulk Smash,https://sleepercdn.com/avatars/422170b2c01fe0178de688a7c6dcf3b2
3,Mitch,The Beer Mile,https://sleepercdn.com/avatars/d74cfa986aca87ce83d07d975b83fb7d
4,Mike,COVID County Cowboys,https://sleepercdn.com/avatars/4504012f02d0e04aced33e35bac84c9f
5,Wayne,Mitchells brother in law,https://sleepercdn.com/avatars/af9fc3953f32121a66acec0c1fc07e43
6,Clayton,The Penis Mightier,https://sleepercdn.com/avatars/742a9945bbbe992e56db3884006cd326
7,Jacob,Judge Jeudy,https://sleepercdn.com/avatars/57bf03808801cc12f75b137fac21e32c
8,Tony,sauceboss91,https://sleepercdn.com/avatars/b90085b8fce696503d0e83e00136659a
9,Zach,ZachAttack14,https://sleepercdn.com/avatars/5465a43bf96c8b16dc460cbf1b67e29c
